Date,LoginID,Age,Gender,Race,NotHispanic,Hispanic,IAS_PA,IAS_BC,IAS_DE,IAS_FG,IAS_HI,IAS_JK,IAS_LM,IAS_NO,IAS_ZPA,IAS_ZBC,IAS_ZDE,IAS_ZFG,IAS_ZHI,IAS_ZJK,IAS_ZLM,IAS_ZNO,IAS_DOM,IAS_LOV,IAS_DISP,IAS_OCT,IAS_AMP,IAS_DISPDEG,IAS_ELEV,IAS_PEAK,IAS_SSZ,IAS_R2,CSIV_PA,CSIV_BC,CSIV_DE,CSIV_FG,CSIV_HI,CSIV_JK,CSIV_LM,CSIV_NO,CSIV_ZPA,CSIV_ZBC,CSIV_ZDE,CSIV_ZFG,CSIV_ZHI,CSIV_ZJK,CSIV_ZLM,CSIV_ZNO,CSIV_DOM,CSIV_LOV,CSIV_DISP,CSIV_OCT,CSIV_AMP,CSIV_DISPDEG,CSIV_ELEV,CSIV_PEAK,CSIV_SSZ,CSIV_R2,IIPSC_PA,IIPSC_BC,IIPSC_DE,IIPSC_FG,IIPSC_HI,IIPSC_JK,IIPSC_LM,IIPSC_NO,IIPSC_ZPA,IIPSC_ZBC,IIPSC_ZDE,IIPSC_ZFG,IIPSC_ZHI,IIPSC_ZJK,IIPSC_ZLM,IIPSC_ZNO,IIPSC_DOM,IIPSC_LOV,IIPSC_DISP,IIPSC_OCT,IIPSC_AMP,IIPSC_DISPDEG,IIPSC_ELEV,IIPSC_PEAK,IIPSC_SSZ,IIPSC_R2,CSIE_PA,CSIE_BC,CSIE_DE,CSIE_FG,CSIE_HI,CSIE_JK,CSIE_LM,CSIE_NO,CSIE_ZPA,CSIE_ZBC,CSIE_ZDE,CSIE_ZFG,CSIE_ZHI,CSIE_ZJK,CSIE_ZLM,CSIE_ZNO,CSIE_DOM,CSIE_LOV,CSIE_DISP,CSIE_OCT,CSIE_AMP,CSIE_DISPDEG,CSIE_ELEV,CSIE_PEAK,CSIE_SSZ,BORPD,PosAff,NegAff,splitting,SCCtot
11/9/09 8:44,851161,19,2,5,1,0,4.375,4.25,3.875,4.125,4.125,4.125,4.125,3.875,-0.695966908,0.26036036,1.464326161,0.855721393,0.156367041,-0.263676149,-2.382653061,-2.035591274,-0.631499548,-1.565407772,3.524941692,3,1.687984945,201.9702386,-0.330139055,1.35784589,12.47137651,0.913866459,3.25,3,2.625,2.75,3,2.875,2.5,3.25,1.142857143,2.281690141,2.178571429,1.397435897,1.64,0.28028169,-0.47826087,0.561403509,0.082568537,-1.167853824,3.070916362,3,1.170769028,175.9557362,1.125497367,2.296266395,6.389343498,0.858116404,9,11,12,14,13,10,10,9,2.257575758,2.836956522,2.456140351,2.588390501,2,1.307917889,1.254545455,1.53125,0.147801934,-0.757505886,2.948804446,3,0.771790502,168.9590324,2.029097059,2.800887561,2.568742472,0.927552039,5.75,5.5,5,5.25,5.5,5.25,6.25,5.25,-0.335078534,-0.131147541,-0.212435233,-0.536723164,-0.673202614,-1.647058824,-0.611464968,-0.666666667,0.330540301,-0.391896658,2.440828219,2,0.512679121,139.8532801,-0.601722193,-0.089043072,1.550459383,6,56,56,59,38
12/4/09 10:16,889707,20,2,5,1,0,3.75,3.75,3.125,3.25,3.375,3.375,3.625,3.875,-1.34229576,-0.19009009,0.614949037,-0.014925373,-0.54588015,-1.084245077,-3.020408163,-2.035591274,-0.398214707,-1.424033892,3.414173456,3,1.478664086,195.623499,-0.952310856,0.526353229,9.701179333,0.901518219,3.75,3.75,2.875,4,3.125,3.875,3.375,2.375,1.936507937,3.338028169,2.535714286,3,1.806666667,1.688732394,0.789855072,-0.973684211,-0.38011863,-1.434543751,3.400522631,3,1.48405052,194.8413413,1.765227539,3.249278059,13.08190938,0.673420334,8,8,8,8,8,8,8,9,1.878787879,1.75,1.286549708,1.005277045,0.633879781,0.721407625,0.648484848,1.53125,0.585996447,-0.248354197,1.971570351,2,0.636452388,112.9659918,1.181954611,1.818406999,1.769494065,0.915677878,10.5,10.25,5.75,8,10.5,10.5,10.25,8.5,2.151832461,2.464480874,0.176165803,1.016949153,2.594771242,1.784313725,1.936305732,1.233918129,0.048506967,0.357817307,0.134742102,7,0.361090225,7.72038145,1.66984214,2.030932365,4.650733817,5,42,44,72,40
11/6/09 13:35,848080,18,1,5,1,0,4.125,2.5,2.625,3.625,4.125,4.375,6.5,5.5,-0.954498449,-1.316216216,0.048697622,0.358208955,0.156367041,0.009846827,0.646683673,-0.169919633,-0.605444743,0.290531428,5.159613501,6,0.671544375,295.6327965,-0.152603772,0.518940603,3.059494307,0.589603121,2.25,2.125,1.875,2,2,2.5,1.75,2,-0.444444444,1.049295775,1.107142857,0.435897436,0.306666667,-0.247887324,-1.565217391,-1.631578947,-0.324504836,-1.26531712,3.392550553,3,1.306265977,194.3845614,-0.123765672,1.182500306,7.859228749,0.868446947,7,8,8,11,13,12,9,11,1.5,1.75,1.286549708,1.796833773,2,1.894428152,0.951515152,2.15625,-0.087000858,0.005295855,4.772999954,5,0.087161892,273.4808186,1.666947098,1.75410899,1.110273907,0.027370527,3.5,4.25,4,3.5,4.75,4,4,5.5,-1.513089005,-0.81420765,-0.730569948,-1.525423729,-1.163398693,-2.464052288,-2.044585987,-0.520467836,0.383804516,-0.442971762,2.427543835,2,0.586114228,139.0921185,-1.346974392,-0.760860164,3.174571157,6,49,46,65,28
11/6/09 15:27,848498,20,1,5,1,0,4.25,3.875,2.75,1.714285714,2.25,3.125,5,5,-0.825232678,-0.077477477,0.190260476,-1.542999289,-1.599250936,-1.357768053,-1.266581633,-0.743972445,0.561023918,-0.449273892,2.245938679,2,0.718745342,128.6866026,-0.902877755,-0.184132413,3.141413344,0.657786556,2.75,2.375,2.25,2.625,2.5,2.625,2.875,2.625,0.349206349,1.401408451,1.642857143,1.237179487,0.973333333,-0.071830986,0.065217391,-0.535087719,-0.209109175,-0.970487367,3.35372364,3,0.992759979,192.1598775,0.632785431,1.625545411,4.355253824,0.905180195,8,10,7,7,8,11,9,10,1.878787879,2.474637681,0.994152047,0.741424802,0.633879781,1.601173021,0.951515152,1.84375,0.660447882,0.029791876,1.52571829,1,0.661119475,87.41979696,1.389915045,2.051034521,3.007167676,0.581382893,5,4.5,5.25,5,5,4.75,5.5,5.25,-0.727748691,-0.677595628,-0.082901554,-0.677966102,-1,-1.973856209,-1.089171975,-0.666666667,0.30015473,-0.479648208,2.582339272,2,0.565822645,147.9615053,-0.861988353,-0.296165708,2.037921696,9,58,56,50,39
11/9/09 0:32,850880,20,2,5,1,0,4.625,5.125,4.625,4.875,4.75,4.875,4.75,5.375,-0.437435367,1.048648649,2.313703284,1.60199005,0.741573034,0.556892779,-1.585459184,-0.313432836,-0.546385245,-1.400259462,3.513532139,3,1.503084627,201.3165001,0.490810051,1.993894678,10.75543374,0.840231441,2.875,3,3.375,2.875,2.5,3,3.5,3.125,0.547619048,2.281690141,3.25,1.557692308,0.973333333,0.456338028,0.971014493,0.342105263,0.001804728,-1.109513077,3.139873407,3,1.109514545,179.9068003,1.297474077,2.406988622,7.242917338,0.679848999,7,7,7,7,7,9,5,6,1.5,1.387681159,0.994152047,0.741424802,0.360655738,1.014662757,-0.260606061,0.59375,0.324665547,-0.405722051,2.466626958,2,0.519632659,141.3314826,0.791465055,1.311097714,2.282440212,0.473209504,9.5,9.5,9.25,9.25,9.25,9.5,9.25,9.25,1.628272251,2.054644809,1.989637306,1.723163842,1.777777778,1.130718954,1.299363057,1.67251462,0.117630221,-0.345555638,2.813394994,3,0.365028174,161.2004135,1.659511577,2.024539751,0.693625341,4,65,63,73,37
11/17/09 22:29,868021,19,2,5,1,0,5.25,4.625,2.75,2.25,3.25,3.625,4.375,5,0.208893485,0.598198198,0.190260476,-1.009950249,-0.662921348,-0.810722101,-2.06377551,-0.743972445,0.513991948,-0.765524083,2.55021045,2,0.922070954,146.1206051,-0.536748687,0.385322267,5.062282298,0.671803581,2.25,3.125,2.75,2.625,2.75,3.5,2.625,3.75,-0.444444444,2.457746479,2.357142857,1.237179487,1.306666667,1.16056338,-0.297101449,1.438596491,-0.17177626,-0.858059558,3.339079721,3,0.875084733,191.320818,1.152043683,2.027128416,7.919261236,0.386790266,4,5,5,7,7,6,8,6,0.363636364,0.663043478,0.409356725,0.741424802,0.360655738,0.134897361,0.648484848,0.59375,0.067993461,-0.059669317,2.290989844,2,0.09046291,131.2679204,0.489406165,0.579869075,0.294336094,0.111213519,6,5.5,5,6,6.75,5.5,5.333333333,4.5,-0.204188482,-0.131147541,-0.212435233,-0.11299435,0.14379085,-1.483660131,-1.195329087,-1.105263158,-0.023051562,-0.661922162,3.176311116,3,0.662323427,181.9945889,-0.537653392,0.124670036,2.676561176,5,59,59,61,33
11/17/09 23:28,868128,19,2,5,1,0,4.875,4.625,4.625,4.75,4.75,4.25,4.125,4.25,-0.178903826,0.598198198,2.313703284,1.47761194,0.741573034,-0.126914661,-2.382653061,-1.605051665,-0.646816309,-1.847113576,3.47833231,3,1.957089651,199.299639,0.104695405,2.061785056,16.65798293,0.919727177,3,3,3,3.142857143,3.375,2.875,3.25,3.25,0.746031746,2.281690141,2.714285714,1.901098901,2.14,0.28028169,0.608695652,0.561403509,-0.231037996,-1.119443448,3.345028799,3,1.14303639,191.6616851,1.404185919,2.547222309,6.314134593,0.827687259,12,9,11,11,11,13,11,10,3.393939394,2.112318841,2.16374269,1.796833773,1.453551913,2.187683284,1.557575758,1.84375,0.480068648,-0.129928625,1.835017449,1,0.49734028,105.141856,2.063674457,2.561014737,2.545319049,0.388709391,6,7,6.75,6,7,6.5,6.25,7,-0.204188482,0.68852459,0.694300518,-0.11299435,0.307189542,-0.830065359,-0.611464968,0.356725146,0.225080421,-0.512615877,2.727762461,2,0.55985376,156.293886,0.03600333,0.59585709,2.284726215,5,59,57,58,37
11/6/09 11:08,847633,21,1,5,1,0,4.5,3,2.125,2,2.875,4.125,5.75,6.625,-0.566701138,-0.865765766,-0.517553794,-1.258706468,-1.014044944,-0.263676149,-0.30994898,1.121699196,0.426153313,0.579057244,0.634443971,8,0.718967272,36.35203401,-0.459337255,0.259630017,3.687068447,0.560785834,2.5,1.875,1.75,2,1.75,2,2.5,2.625,-0.047619048,0.697183099,0.928571429,0.435897436,-0.026666667,-0.952112676,-0.47826087,-0.535087719,0.11516204,-0.81680794,3.001432876,3,0.824886359,171.9745082,0.002738123,0.827624482,2.962805326,0.918639506,5,6,10,8,9,10,7,4,0.742424242,1.025362319,1.871345029,1.005277045,0.907103825,1.307917889,0.345454545,-0.03125,-0.274317748,-0.514737079,3.63114162,4,0.58327051,208.0552257,0.896704362,1.479974871,2.336248054,0.582480078,5,5,3.5,4.25,4,4.75,4.25,4,-0.727748691,-0.404371585,-0.989637306,-1.101694915,-1.653594771,-1.973856209,-1.885350318,-1.397660819,0.457511093,-0.555045722,2.452130659,2,0.719299766,140.5008813,-1.266739327,-0.547439561,2.187705632,1,57,53,59,30
11/6/09 14:09,848254,19,1,5,1,0,4.875,2,2.5,2.75,2.625,4.125,3.75,3.875,-0.178903826,-1.766666667,-0.092865232,-0.512437811,-1.248127341,-0.263676149,-2.860969388,-2.035591274,-0.26756507,-0.69558984,3.508712051,3,0.745275983,201.0403212,-1.119904711,-0.374628727,7.346966303,0.30240307,4.375,3,3.125,3.5,1.875,4.125,4.625,4.5,2.928571429,2.281690141,2.892857143,2.358974359,0.14,2.04084507,2.601449275,2.754385965,0.810078417,-0.045416407,1.626709254,1,0.811350536,93.20632363,2.249846673,3.061197209,5.760371557,0.457116133,5,9,11,14,12,8,5,9,0.742424242,2.112318841,2.16374269,2.588390501,1.726775956,0.721407625,-0.260606061,1.53125,-0.187093955,-1.038780329,3.319698766,3,1.055494538,190.2103383,1.415712974,2.471207512,6.275512896,0.710105286,10.75,10.5,9.75,8.5,9.5,10.75,11,11,2.282722513,2.601092896,2.248704663,1.299435028,1.941176471,1.947712418,2.414012739,2.695906433,0.44923522,0.173225658,1.202763963,1,0.481476283,68.91533134,2.178845395,2.660321678,1.399891085,4,45,46,58,24
11/6/09 15:35,848520,18,1, ,1,0,5.5,4.5,3.5,3.625,3.75,4,5.375,4.875,0.467425026,0.485585586,1.039637599,0.358208955,-0.194756554,-0.400437637,-0.788265306,-0.887485649,0.101973478,-0.833756852,3.019798418,3,0.839969689,173.0268073,0.009989002,0.849958692,3.269914653,0.863079503,3.875,3.125,3.5,3.75,3.25,3.25,3.125,3.375,2.134920635,2.457746479,3.428571429,2.679487179,1.973333333,0.808450704,0.427536232,0.780701754,-0.003887588,-1.380043212,3.144316997,3,1.380048688,180.1614068,1.836343468,3.216392156,7.895818236,0.964831927,5,7,6,7,5,7,5,8,0.742424242,1.387681159,0.701754386,0.741424802,-0.18579235,0.428152493,-0.260606061,1.21875,0.486018069,-0.325819575,2.161276591,2,0.585125592,123.8356793,0.596723584,1.181849176,2.441490861,0.560922777,6.75,6.5,8,6.75,7.5,7,6.5,8.75,0.188481675,0.415300546,1.341968912,0.310734463,0.633986928,-0.503267974,-0.452229299,1.380116959,0.241484992,-0.421780072,2.621518173,2,0.486017933,150.2063572,0.414386526,0.900404459,3.496159046,3,57,58,31,25
