sex,age,ethnicity,race,csie01,csie02,csie03,csie04,csie05,csie06,csie07,csie08,csie09,csie10,csie11,csie12,csie13,csie14,csie15,csie16,csie17,csie18,csie19,csie20,csie21,csie22,csie23,csie24,csie25,csie26,csie27,csie28,csie29,csie30,csie31,csie32,csiv01,csiv02,csiv03,csiv04,csiv05,csiv06,csiv07,csiv08,csiv09,csiv10,csiv11,csiv12,csiv13,csiv14,csiv15,csiv16,csiv17,csiv18,csiv19,csiv20,csiv21,csiv22,csiv23,csiv24,csiv25,csiv26,csiv27,csiv28,csiv29,csiv30,csiv31,csiv32,csiv33,csiv34,csiv35,csiv36,csiv37,csiv38,csiv39,csiv40,csiv41,csiv42,csiv43,csiv44,csiv45,csiv46,csiv47,csiv48,csiv49,csiv50,csiv51,csiv52,csiv53,csiv54,csiv55,csiv56,csiv57,csiv58,csiv59,csiv60,csiv61,csiv62,csiv63,csiv64,iipsc01,iipsc02,iipsc03,iipsc04,iipsc05,iipsc06,iipsc07,iipsc08,iipsc09,iipsc10,iipsc11,iipsc12,iipsc13,iipsc14,iipsc15,iipsc16,iipsc17,iipsc18,iipsc19,iipsc20,iipsc21,iipsc22,iipsc23,iipsc24,iipsc25,iipsc26,iipsc27,iipsc28,iipsc29,iipsc30,iipsc31,iipsc32,iipscpa,iipscbc,iipscde,iipscfg,iipschi,iipscjk,iipsclm,iipscno,ZPA1,ZBC1,ZDE1,ZFG1,ZHI1,ZJK1,ZLM1,ZNO1,DOM1,LOV1,DISP1,UOCT1,AMP1,DISPDEG1,ELEV1,PEAK1,SSZ,R2,CSIV_PA,CSIV_BC,CSIV_DE,CSIV_FG,CSIV_HI,CSIV_JK,CSIV_LM,CSIV_NO,CSIV_ZPA,CSIV_ZBC,CSIV_ZDE,CSIV_ZFG,CSIV_ZHI,CSIV_ZJK,CSIV_ZLM,CSIV_ZNO,CSIV_DOM,CSIV_LOV,CSIV_DISP,CSIV_OCT,CSIV_AMP,CSIV_DISPDEG,CSIV_ELEV,CSIV_PEAK,CSIV_SSZ,CSIV_R2,CSIE_PA,CSIE_BC,CSIE_DE,CSIE_FG,CSIE_HI,CSIE_JK,CSIE_LM,CSIE_NO,CSIE_ZPA,CSIE_ZBC,CSIE_ZDE,CSIE_ZFG,CSIE_ZHI,CSIE_ZJK,CSIE_ZLM,CSIE_ZNO,CSIE_DOM,CSIE_LOV,CSIE_DISP,CSIE_OCT,CSIE_AMP,CSIE_DISPDEG,CSIE_ELEV,CSIE_PEAK,CSIE_SSZ,CSIE_R2
2,29,2,3,10,8,10,8,10,8,10,10,8,10,7,9,10,9,8,10,8,10,9,8,9,7,10,9,7,9,10,9,9,10,8,10,1,3,5,5,5,3,5,3,2,3,2,1,3,2,3,5,3,2,3,5,3,5,2,3,5,3,2,3,5,2,5,2,3,2,5,5,2,3,2,5,3,5,3,5,2,5,2,5,2,3,5,3,5,1,2,1,3,0,3,5,3,2,3,2,1,2,2,1,4,1,4,2,0,1,2,1,4,1,2,0,1,4,1,2,4,1,0, ,0,1,0,1,2,4,1,2,2,8,5,5,14,7,7,4,-.393939393939394,1.75,.409356725146199,.213720316622691,2.27322404371585,.428152492668622,.345454545454545,-.0312499999999999,-.475645158063018,-.294085708674761,4.15853816141203,4,.559217954321506,238.273712893256,.624339841208564,1.18355779553007,3.73721569471966,.512638136427374,2.75,4,3,2.625,3.5,3.25,3.5,2.875,.34920634920635,3.69014084507042,2.71428571428571,1.23717948717949,2.30666666666667,.808450704225352,.971014492753623,-.0964912280701757,-.214591631321894,-1.18404435733984,3.3207900276199,3,1.20333312444298,190.272864864422,1.49755662891468,2.70088975335766,11.6221210531115,.49836362975897,8.5,9,9.25,9.5,9.75,9,8.5,8.25,1.10471204188482,1.78142076502732,1.98963730569948,1.86440677966102,2.10457516339869,.803921568627451,.821656050955414,1.08771929824561,-.214321700968726,-.603363448998228,3.48281011175114,3,.640297776892256,199.556205670923,1.44475612168748,2.08505389857973,2.06373432135204,.794639579041491
2,44,2,1,0,0,11,0,6,0,0,11,2,0,11,0,9,9,0,11,0,0,11,0,11,0,0,11,0,0,11,1,11,9,0,11,1,0,0,0,0,0,2,5,0,3,1,0,3,5,1,5,0,0,0,0,1,1,0,3,1,0,1,0,0,1,0,0,0,2,2,0,3,0,0,3,0,1,1,0,2,1,1,0,1,2,0,0,1,3,0,1,0,2,0,0,3,1,0,5,0,0,0,4,4,4,4,0,0,0,0,4,4,4,1,0,0,0,2,4,4,0,4,0,0,0,2,4,4,2,4,0,0,0,4,16,16,10,13,0,-1.15151515151515,-1.14855072463768,.116959064327485,3.11609498680739,2.81967213114754,1.30791788856305,2.16363636363636,-1.28125,-2.20934873466711,.167163768512038,4.78772179644817,5,2.21566368316094,274.324342944667,.742870569791124,2.95853425295207,16.3322983420041,.0988727718125571,.375,0,.5,1.25,1.625,2.75,.625,1.5,-3.42063492063492,-1.94366197183099,-.857142857142857,-.525641025641026,-.193333333333333,.104225352112676,-3.19565217391304,-2.50877192982456,-1.52233113231797,-.573133064685124,4.35222539406916,5,1.62664488634117,249.371501172195,-1.56757660752601,.0590682788151666,13.3855562370066,.790695146144066,.25,0,0,9.25,11,11,4.5,.5,-3.21465968586387,-3.13661202185792,-2.80310880829016,1.72316384180791,2.92156862745098,2.11111111111111,-1.72611464968153,-3.44444444444444,-3.38277840524051,.283468924944368,4.79580601477539,5,3.39463464460767,274.787548196584,-.946137003720991,2.44849764088668,51.673705333001,.89202384819199
2,34,2,1,11,11,11,11,11,11,11,6,11,9,10,10,3,11,11,0,11,0,11,11,11,11,11,11,11,11,11,11,11,11,11,9,5,0,2,0,0,2,5,5,5,5,0,5,2,5,0,0,2,0,3,2,0,5,0,3,1,5,1,0,0,2,0,1,5,5,5,5,2,2,2,10,5,0,2,3,0,2,0,0,2,3,0,5,5,3,0,5,5,0,2,0,1,3,10,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,-1.15151515151515,-1.14855072463768,-1.05263157894737,-1.10554089709763,-1.55191256830601,-1.62463343108504,.0424242424242423,-1.28125,.15341566882695,.158070909183324,.77045404017302,8,.220278868191353,44.1450667614654,-1.10920126364558,-.888922395454227,12.5855314756453,.216429476039718,3.75,2.5,2.125,2.25,1.25,3.625,1.875,3,1.93650793650794,1.57746478873239,1.46428571428571,.756410256410256,-.693333333333333,1.33661971830986,-1.38405797101449,.122807017543859,.587745742561532,-.867300496223837,2.54591658956479,2,1.04769041641571,145.87457778821,.639588015930274,1.68727843234598,9.88012604911223,.444389151795467,10.75,11,7.75,9,6.5,10.75,11,11,2.28272251308901,2.87431693989071,1.21243523316062,1.5819209039548,-.0196078431372551,1.94771241830065,2.4140127388535,2.69590643274854,.937787322999688,.333654505201874,1.22897352033598,1,.995374498377585,70.4170726278774,1.87367741710757,2.86905191548516,6.2489935060503,.634195181071103
2,58,2,1,3,2,8,2,2,3,2,6,5,2,8,6,2,6,1,3,3,5,8,2,6,7,2,8,2,1,8,2,8,8,5,6,2,0,2,0,0,1,0,1,0,2,2,1,2,3,1,3,2,0,3,0,1,2,0,3,1,2,2,1,0,2,0,3,1,2,1,0,1,0,0,2,1,1,2,3,0,3,0,1,2,1,1,0,2,2,0,1,2,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.15151515151515,-1.14855072463768,-1.05263157894737,-1.10554089709763,-1.55191256830601,-1.62463343108504,-1.77575757575758,-1.28125,.15341566882695,-.29647454536213,2.66397696682449,2,.333816601578325,152.639138637087,-1.33647399091831,-1.00265738933998,2.11403858792711,.281151499009497,1.375,.75,.125,1,.875,1.875,1.75,1.75,-1.83333333333333,-.887323943661972,-1.39285714285714,-.846153846153846,-1.19333333333333,-1.12816901408451,-1.56521739130435,-2.07017543859649,-.334513832658569,-.303103894770371,3.97611976770161,4,.451410539603246,227.82160056861,-1.36457043041562,-.913159890812376,1.34040416475327,.608089651235609,3,2.5,2.5,4.5,5.75,8,6,3.25,-1.77486910994764,-1.77049180327869,-1.50777202072539,-.96045197740113,-.509803921568628,.150326797385621,-.770700636942675,-1.83625730994152,-.812667045238588,.369757701037674,5.13920189661796,6,.89283172204704,294.463263215417,-1.12250249780251,-.229670775755466,3.64886975427298,.873857975292201
2,36,2,1,8,7,9,8,10,7,6,9,3,10,10,8,7,9,9,8,8,10,10,7,11,10,9,9,10,11,11,10,11,11,11,10,3,0,2,0,0,0,2,2,1,0,2,1,3,3,2,2,3,0,1,0,0,1,0,3,1,2,1,1,2,1,0,3,2,3,2,0,2,1,0,2,2,3,3,1,0,2,2,2,3,2,1,0,2,3,2,3,1,2,2,2,1,2,2,3,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,2,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,5,2,0,2,0,-1.15151515151515,-.423913043478261,-1.05263157894737,.213720316622691,-1.00546448087432,-1.62463343108504,-1.16969696969697,-1.28125,-.0887420300605323,-.507751447688132,3.3145269059455,3,.51544803863111,189.914003842174,-.936923042371802,-.421475003740692,4.89807285117121,.440999393326194,2,.625,1.25,1.5,1.25,2.5,1.75,1.625,-.841269841269841,-1.06338028169014,.214285714285714,-.205128205128205,-.693333333333333,-.247887323943662,-1.56521739130435,-2.28947368421053,-.551705449521239,-.670097098934628,3.83030057560877,4,.867991373823517,219.466529877313,-.836425543324293,.0315658304992242,4.56340147021811,.660392498840149,8.25,8.75,9.5,9.75,9,10,9.25,7.25,.973821989528796,1.6448087431694,2.11917098445596,2.00564971751412,1.61437908496732,1.45751633986928,1.29936305732484,.502923976608187,-.393628691284664,-.504930202379354,3.80365920381549,4,.640232813808643,217.940046693232,1.45220423667974,2.09243705048838,1.96791495133001,.833162135589863
1,29,2,3,2,1,6,7,10, ,2,9,2,7,3,3,7,7,2,7,1,7,7,1,10,3,3,7,0,3,9,6,11,7,5,11,1,0,1,0,0,0,1,2,0,1,0,0,0,2,3,1,0,1,1,0,0,0,0,1,2,1,2,1,1,1,3,1,0,2,0,0,1,0,0,1,1,1,2,1,2,2,1,0,0,2,1,0,2,0,1,0,1,3,1,5,2,1,3,2,0,1,1,2,0,1,0,0,0,0,0,4,1,1,0,0,0,0,2,4,0,0,0,0,0,0,2,4,1,0,0,0,0,1,5,14,2,2,0,0,-1.15151515151515,-.786231884057971,.409356725146199,2.58839050131926,-1.00546448087432,-1.03812316715543,-1.77575757575758,-1.28125,-.678663153894579,-1.27785046695991,3.62971498875492,4,1.44688821004382,207.973483360142,-.505074379111873,.941813830931944,4.44145069287462,.504169989451553,.625,.875,1.5,1.375,1,1,1,.75,-3.02380952380952,-.711267605633803,.571428571428571,-.365384615384615,-1.02666666666667,-2.36056338028169,-2.65217391304348,-3.82456140350877,-.820539594177752,-1.71265450101005,3.58829148894947,4,1.89907100063251,205.600021649182,-1.6741248171125,.224946183520016,15.975411257343,.903005401826056,4.25,3,4.5,9.5,8.5,6.25,5.66666666666667,1.25,-1.12041884816754,-1.49726775956284,-.471502590673575,1.86440677966102,1.28758169934641,-.993464052287581,-.983014861995753,-3.00584795321637,-1.55589551000558,-.902923124874923,4.18647030817084,4,1.79891106158404,239.874154216378,-.61494094836203,1.18397011322201,16.8165351048732,.769737876990287
1,56,2,1,7,8,11,8,11, ,8,11,9,11,10,10,10,8,6,11,8,9,11,7,11,9,9,9,9,11,11,11,11,11,11,11,2,0,1,0,1,0,3,0,1,2,2,1,3,5,1,2,2,0,3,1,0,2,0,3,3,1,2,3,1,2,1,3,2,1,0,0,2,1,0,2,2,2,3,1,0,2,1,2,3,2,3,0,1,1,0,3,1,1,1,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.15151515151515,-1.14855072463768,-1.05263157894737,-1.10554089709763,-1.55191256830601,-1.62463343108504,-1.77575757575758,-1.28125,.15341566882695,-.29647454536213,2.66397696682449,2,.333816601578325,152.639138637087,-1.33647399091831,-1.00265738933998,12.0776139918976,.660346571763914,2,1,1,1.125,1.25,2.125,1.875,1.75,-.841269841269841,-.535211267605634,-.142857142857143,-.685897435897436,-.693333333333333,-.776056338028169,-1.38405797101449,-2.07017543859649,-.239943472463209,-.59875955251842,3.52263920857833,3,.64504718564595,201.838312126086,-.891107346075318,-.246060160429367,2.41668844940476,.688687649104698,9,8.5,9.75,10.75,10.5,10.75,9.33333333333333,8.25,1.36649214659686,1.50819672131148,2.24870466321244,2.57062146892655,2.59477124183007,1.94771241830065,1.35244161358811,1.08771929824561,-.648298945319747,-.409266861486369,4.14918419784537,4,.76667521572932,237.737754452385,1.83458244650147,2.60125766223079,2.41983656342612,.971620803318016
1,25,2,3,2,3,5,6,6,6,7,7,2,5,6,7,8,7,7,7,7,8,8,8,6,3,6,7,5,6,7,6,5,5,5,5,1,1,1,1,1,1,1,3,1,0,0,0,1,2,2,2,1,1,1,1,2,1,1,0,1,2,3,5,3,0,1,1,1,3,3,1,0,0,2,3,2,3,1,0,0,2,3,5,1,0,1,0,0,0,0,1,1,0,1,2,1,1,2,1,1,1,0,0,1,2,0,1,0,0,0,0,4,1,1,0,0,0,0,1,2,1,1,0,0,1,0,1,0,0,0,0,1,2,0,2,7,4,2,1,-.772727272727273,-.423913043478261,-1.05263157894737,-.577836411609499,.360655737704918,-.451612903225806,-1.16969696969697,-.96875,-.347816189442172,-.103570234731904,4.42288399541607,5,.362908935079442,253.420060218015,-.632064055247533,-.26915512016809,6.83331638342186,.607301044157687,1.125,1.25,1.5,1.25,1,2,1.375,.875,-2.23015873015873,-.183098591549296,.571428571428571,-.525641025641026,-1.02666666666667,-.952112676056338,-2.10869565217391,-3.60526315789474,-.71100594434805,-1.35316398437566,3.62529155556383,4,1.52858831001341,207.720031832402,-1.25752599108902,.271062318924395,12.364071993419,.75592643677693,6.75,6.25,5.5,6.25,6.5,6.5,5.25,4,.18848167539267,.278688524590164,.0466321243523315,.0282485875706214,-.0196078431372551,-.830065359477124,-1.2484076433121,-1.39766081871345,-.00427272556099775,-.773662675953475,3.14702266802384,3,.773674474405877,180.316434901891,-.369211344091768,.404463130314109,3.22699941713323,.741955129175654
1,31,2,1,9,2,8,6,7,7,1,6,9,1,8,9,8,9,8,8,8,8,8,8,8,10,3,8,9,2,9,9,6,8,8,8,2,0,3,0,2,2,2,2,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.15151515151515,-1.14855072463768,-1.05263157894737,-1.10554089709763,-1.55191256830601,-1.62463343108504,-1.77575757575758,-.96875,.20888441882695,-.24100579536213,2.42737913944936,2,.318930233478743,139.082681871999,-1.29741149091831,-.978481257439564,2.12189420736917,.188790543891707,.5,0,.25,0,.5,.75,.75,.5,-3.22222222222222,-1.94366197183099,-1.21428571428571,-2.12820512820513,-1.69333333333333,-2.71267605633803,-3.01449275362319,-4.26315789473684,-.624676338281601,-.965505875893748,3.71575901174102,4,1.1499661403686,212.903588130951,-2.52400438432193,-1.37403824395333,6.68717067866219,.791020410598416,8,5,3.25,7.25,7.5,8.25,8.5,8.75,.842931937172775,-.404371584699454,-1.11917098445596,.593220338983051,.633986928104575,.313725490196079,.821656050955414,1.38011695906433,.0644481715375197,.752343139711227,.0854546472175066,7,.755098514556264,4.89633503076594,.382761891915101,1.13786040647136,4.38665596000492,.519916557745675
1,43,2,1,11,6,11,6,3,0,6,11,11,6,11,11,6,11,11,6,11,11,11,11,11,11,6,11,11,6,11,6,11,11,11,11,2,0,3,0,2,2,1,2,1,2,2,0,2,5,0,2,3,0,5,0,0,5,0,3,1,0,5,0,0,5,0,2,2,0,3,0,1,0,0,3,0,0,2,0,0,3,1,3,5,1,0,0,1,0,0,2,2,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.15151515151515,-1.14855072463768,-1.05263157894737,-1.10554089709763,-1.55191256830601,-1.62463343108504,-1.77575757575758,-1.28125,.15341566882695,-.29647454536213,2.66397696682449,2,.333816601578325,152.639138637087,-1.33647399091831,-1.00265738933998,4.95488016133927,1.01863817752189,2,0,.25,.375,.875,2.125,2.875,2.875,-.841269841269841,-1.94366197183099,-1.21428571428571,-1.6474358974359,-1.19333333333333,-.776056338028169,.0652173913043477,-.0964912280701757,.156058551828289,.802418455209931,.192087333452163,7,.817453147807405,11.0061181032594,-.955914616618721,-.138461468811317,3.40378135398953,.785279169682285,8.5,8.5,7.25,7.75,9.75,11,8.25,11,1.10471204188482,1.50819672131148,.953367875647668,.875706214689265,2.10457516339869,2.11111111111111,.662420382165605,2.69590643274854,-.0338975458623834,.35736596952444,6.18842907718225,7,.358970026310883,354.581325447336,1.50199949286965,1.86096951918053,3.71553691247175,.13872501641106
1,29,2,1,9,6,8,8,6,3,5,10,9,5,9,9,5,8,7,7,8,5,7,7,8,7,7,7,9,3,11,8,6,7,7,7,3,0,3,1,1,1,0,1,0,1,1,0,1,2,0,0,1,0,2,0,0,1,0,3,2,0,2,1,2,2,1,2,0,1,0,0,2,1,1,3,0,0,2,0,1,1,0,1,0,2,1,0,1,1,0,3,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,-1.15151515151515,-1.14855072463768,-1.05263157894737,-1.10554089709763,-1.55191256830601,-1.62463343108504,-1.77575757575758,-.65625,.26435316882695,-.18553704536213,2.18267213067887,2,.322965312488136,125.061589534361,-1.25834899091831,-.935383678430171,1.31985371200587,.589922595765287,.875,.25,.25,.5,1.125,1.75,1.5,1.25,-2.62698412698413,-1.59154929577465,-1.21428571428571,-1.48717948717949,-.86,-1.30422535211268,-1.92753623188406,-2.94736842105263,-.751929567508515,-.386496165162069,4.23750695453028,4,.845445066328101,242.798424897485,-1.74489107865917,-.899446012331066,3.60608867997582,.792856109332641,8,6.5,4.75,6.25,7.75,8.75,6.25,8.75,.842931937172775,.415300546448087,-.341968911917099,.0282485875706214,.797385620915033,.640522875816994,-.611464968152866,1.38011695906433,.211366251541588,.212559585344172,.782583211944203,8,.299762021631207,44.8400376094084,.393884080864734,.693646102495941,3.08429777159625,.116535141891858
1,53,2,1,10,8,11,8,10,0,7,10,8,5,11,11,0,7,7,3,10,8,11,9,5,7,8,11,10,1,9,9,8,11,3,10,2,0,2,1,0,3,0,2,3,1,5,1,1,3,0,0,5,0,3,0,1,5,0,5,3,2,3,0,1,3,0,2,2,2,0,0,2,2,1,5,1,0,5,0,0,3,0,2,3,0,2,3,1,1,0,5,2,0,2,2,2,5,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.15151515151515,-1.14855072463768,-1.05263157894737,-1.10554089709763,-1.55191256830601,-1.62463343108504,-1.47272727272727,-1.28125,.15341566882695,-.220716969604554,2.53408454963086,2,.268797968952591,145.196631842609,-1.29859520303952,-1.02979723408693,3.95053912334748,.243837725144126,2.625,.875,.125,.625,1,3.25,2.75,3.125,.150793650793651,-.711267605633803,-1.39285714285714,-1.32692307692308,-1.02666666666667,.808450704225352,-.115942028985507,.342105263157894,.320867609729452,.885231308832281,.347738292492566,7,.941589344199692,19.924524160007,-.409038362861162,.53255098133853,4.72903269685829,.749912762243668,9.25,6.25,5.5,5.75,8.5,10.5,6.25,9.5,1.49738219895288,.278688524590164,.0466321243523315,-.254237288135593,1.28758169934641,1.7843137254902,-.611464968152866,1.8187134502924,.153150407812831,.470672956104425,.314581016531156,7,.494962704677145,18.0246961564883,.730951183341989,1.22591388801913,6.63556496276406,.147681820852381
